title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian
真建一小区2室1厅57.99平米_上海真建一小区二手房成交房源(上海链家),242,41732,普陀,桃浦,真建一小区,2室1厅1厨1卫,低楼层(共6层),57.99㎡,暂无数据,板楼,南,1994,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
沪东新村1室1厅36.75平米_上海沪东新村二手房成交房源(上海链家),148,40273,浦东,金桥,沪东新村,1室1厅1厨1卫,中楼层(共6层),36.75㎡,平层,板楼,南,1985,精装,砖混结构,,一梯三户,无,商品房,普通住宅,暂无数据
朗诗未来街区3室2厅86平米_上海朗诗未来街区二手房成交房源(上海链家),230,26745,奉贤,奉贤金汇,朗诗未来街区,3室2厅1厨1卫,中楼层(共18层),86㎡,平层,板楼,南北,未知,其他,钢混结构,,两梯四户,有,商品房,普通住宅,暂无数据
梅岭苑2室2厅98.81平米_上海梅岭苑二手房成交房源(上海链家),515,52121,普陀,曹杨,梅岭苑,2室2厅1厨1卫,低楼层(共24层),98.81㎡,平层,塔楼,南,1999,精装,钢混结构,,两梯十户,有,商品房,普通住宅,暂无数据
中城绿苑车位21.38平米_上海中城绿苑二手房成交房源(上海链家),20,9355,闵行,春申,中城绿苑,车位,低楼层(共1层),21.38㎡,暂无数据,板楼,南,未知,其他,钢混结构,,暂无数据,无,商品房,车库,暂无数据
康沁苑3室2厅119.48平米_上海康沁苑二手房成交房源(上海链家),748,62605,徐汇,康健,康沁苑,3室2厅1厨2卫,高楼层(共6层),119.48㎡,复式,板楼,南北,1999,精装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
芳雅苑2室1厅59.14平米_上海芳雅苑二手房成交房源(上海链家),261,44065,浦东,北蔡,芳雅苑,2室1厅1厨1卫,高楼层(共7层),59.14㎡,平层,板楼,南,1995,精装,钢混结构,,一梯四户,无,商品房,普通住宅,暂无数据
外滩992室2厅97.98平米_上海外滩99二手房成交房源(上海链家),712,72668,虹口,四川北路,外滩99,2室2厅1厨1卫,低楼层(共32层),97.98㎡,暂无数据,板楼,南,2007,精装,钢混结构,,两梯六户,有,商品房,普通住宅,暂无数据
永泰花苑1室1厅54.94平米_上海永泰花苑二手房成交房源(上海链家),322,58610,浦东,三林,永泰花苑,1室1厅1厨1卫,中楼层(共12层),54.94㎡,暂无数据,板楼,南,2005,精装,钢混结构,,一梯四户,有,动迁安置房,普通住宅,暂无数据
静安新城十一区1室1厅48.68平米_上海静安新城十一区二手房成交房源(上海链家),263,53986,闵行,静安新城,静安新城十一区,1室1厅0厨1卫,高楼层(共6层),48.68㎡,平层,板楼,南,1997,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
富特四村2室1厅69.71平米_上海富特四村二手房成交房源(上海链家),273,39163,浦东,外高桥,富特四村,2室1厅1厨1卫,低楼层(共6层),69.71㎡,平层,板楼,南,1993,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
虹古大楼2室1厅76.96平米_上海虹古大楼二手房成交房源(上海链家),425,55224,长宁,仙霞,虹古大楼,2室1厅0厨1卫,高楼层(共24层),76.96㎡,平层,塔楼,西南,1993,精装,钢混结构,,两梯八户,有,商品房,普通住宅,暂无数据
新高苑(二期)1室1厅53.7平米_上海新高苑(二期)二手房成交房源(上海链家),254,47207,浦东,高行,新高苑(二期),1室1厅1厨1卫,高楼层(共11层),53.7㎡,平层,板楼,南,2008,简装,钢混结构,,一梯四户,有,动迁安置房,普通住宅,暂无数据
丽都华庭2室2厅86.32平米_上海丽都华庭二手房成交房源(上海链家),216,25024,浦东,泥城镇,丽都华庭,2室2厅0厨1卫,中楼层(共12层),86.32㎡,平层,板楼,南,2014,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
海悦花园3室2厅148.68平米_上海海悦花园二手房成交房源(上海链家),1455,97862,黄浦,打浦桥,海悦花园,3室2厅1厨2卫,高楼层(共37层),148.68㎡,平层,板楼,南,2004,精装,钢混结构,,两梯三户,有,商品房,普通住宅,暂无数据
闻喜小区1室1厅45.12平米_上海闻喜小区二手房成交房源(上海链家),196,43440,静安,彭浦,闻喜小区,1室1厅1厨1卫,中楼层(共6层),45.12㎡,平层,板楼,南,1986,简装,砖混结构,,一梯六户,无,商品房,普通住宅,暂无数据
香楠小区2室1厅63.29平米_上海香楠小区二手房成交房源(上海链家),332,52457,浦东,张江,香楠小区,2室1厅1厨1卫,高楼层(共6层),63.29㎡,平层,板楼,南,1995,精装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
古北菊翔苑(菊联路232弄)2室2厅74.23平米_上海古北菊翔苑(菊联路232弄)二手房成交房源(上海链家),300,40415,宝山,顾村,古北菊翔苑(菊联路232弄),2室2厅0厨1卫,低楼层(共8层),74.23㎡,平层,板楼,南北,2008,精装,钢混结构,,一梯三户,有,商品房,普通住宅,暂无数据
宝景苑2室2厅88.52平米_上海宝景苑二手房成交房源(上海链家),470,53096,宝山,淞南,宝景苑,2室2厅1厨1卫,中楼层(共11层),88.52㎡,平层,板楼,南北,2008,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
思浦小区1室1厅37.74平米_上海思浦小区二手房成交房源(上海链家),150,39746,浦东,杨思前滩,思浦小区,1室1厅0厨1卫,低楼层(共6层),37.74㎡,平层,板楼,南,1989,简装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
